"ensembl_gene_id","logFC_AMY_F_FENT","logFC_AMY_FENT","logFC_AMY_M_FENT","module.AMY","Motif","name","P.Value_AMY_F_FENT","P.Value_AMY_FENT","P.Value_AMY_M_FENT","Regulatory function","selected","shared name"
"ENSMUSG00000051251","0.973285223","0.599979913","0.226674603","19","transfac_pro-M01619|tiffin-TIFDMEM0000098","Nhlh1","0.014747673","0.032481747","0.56079321","Regulator","false","Nhlh1"
"ENSMUSG00000028717","0.539148191","0.40181587","0.264483548","19","transfac_pro-M01619|tiffin-TIFDMEM0000098","Tal1","0.156224776","0.135427494","0.483893918","Regulated","false","Tal1"
"ENSMUSG00000015053","0.932529369","0.655879974","0.379230579","19","transfac_pro-M01619|tiffin-TIFDMEM0000098","Gata2","0.042664544","0.04374464","0.402956611","Regulator","false","Gata2"
"ENSMUSG00000030551","0.479761351","0.360055104","0.240348856","19","transfac_pro-M01619|tiffin-TIFDMEM0000098","Nr2f2","0.003002318","0.001715156","0.126386815","Regulated","false","Nr2f2"
"ENSMUSG00000028072","0.664855126","0.645928461","0.627001795","19","transfac_pro-M01619|tiffin-TIFDMEM0000098","Ntrk1","0.077589464","0.016500811","0.095563133","Regulated","false","Ntrk1"
"ENSMUSG00000004187","0.164556937","0.065075595","-0.034405747","19","transfac_pro-M01619|tiffin-TIFDMEM0000098","Kifc2","0.087275846","0.334821797","0.717515891","Regulated","false","Kifc2"
"ENSMUSG00000096014","0.397460438","0.351050338","0.304640238","19","transfac_pro-M01619|tiffin-TIFDMEM0000098","Sox1","0.019552932","0.003966417","0.070857245","Regulated","false","Sox1"
"ENSMUSG00000015619","1.150839413","0.847067149","0.543294884","19","transfac_pro-M01619|tiffin-TIFDMEM0000098","Gata3","0.047086001","0.039020325","0.34234399","Regulator","false","Gata3"
"ENSMUSG00000024142","-0.014440715","-0.047655579","-0.080870444","19","transfac_pro-M01619|tiffin-TIFDMEM0000098","Mlst8","0.897698712","0.549062008","0.472456448","Regulated","false","Mlst8"
"ENSMUSG00000002105","0.337751408","0.244228735","0.150706062","19","transfac_pro-M01619|tiffin-TIFDMEM0000098","Slc39a13","0.018111687","0.015767072","0.28253296","Regulated","false","Slc39a13"
"ENSMUSG00000070576","0.398545482","0.363879086","0.32921269","19","transfac_pro-M01619|tiffin-TIFDMEM0000098","Mn1","0.055020563","0.01417515","0.111232109","Regulated","false","Mn1"
"ENSMUSG00000004872","0.807195303","0.400963857","-0.005267588","19","transfac_pro-M01619|tiffin-TIFDMEM0000098","Pax3","0.148411826","0.30784919","0.992408491","Regulated","false","Pax3"
"ENSMUSG00000030283","0.193974003","0.127559904","0.061145805","19","transfac_pro-M01619|tiffin-TIFDMEM0000098","St8sia1","0.063576756","0.083875999","0.553504012","Regulated","false","St8sia1"
"ENSMUSG00000040373","0.586367975","0.247880911","-0.090606153","19","transfac_pro-M01619|tiffin-TIFDMEM0000098","Cacng5","0.005916827","0.093079521","0.660716365","Regulated","false","Cacng5"
"ENSMUSG00000055197","0.90486078","0.688774287","0.472687793","19","transfac_pro-M01619|tiffin-TIFDMEM0000098","Fev","0.003572854","0.001810879","0.118276069","Regulated","false","Fev"
"ENSMUSG00000025094","0.886828147","0.757351918","0.627875689","19","transfac_pro-M01619|tiffin-TIFDMEM0000098","Slc18a2","0.030514407","0.009594708","0.121939712","Regulated","false","Slc18a2"
