"ensembl_gene_id","logFC_INPUT_F_FENT","logFC_INPUT_FENT","logFC_INPUT_M_FENT","Motif","name","P.Value_INPUT_F_FENT","P.Value_INPUT_FENT","P.Value_INPUT_M_FENT","Regulatory function","selected","shared name"
"ENSMUSG00000023994","-1.20237770911746E-4","0.0865425017686674","0.173205241308247","transfac_public-M00287","Nfya","0.999194051598257","0.306008081725826","0.149215353875469","Regulator","false","Nfya"
"ENSMUSG00000025130","0.0369396993254085","0.0748168817455617","0.112694064165715","transfac_public-M00287","P4hb","0.649613198746344","0.195941697926431","0.168796309105847","Regulated","false","P4hb"
"ENSMUSG00000001403","0.162177395471196","0.600296517298669","1.03841563912614","transfac_public-M00287","Ube2c","0.741586861299747","0.0880538792618213","0.0380717713330571","Regulated","false","Ube2c"
"ENSMUSG00000029591","0.209865590352241","0.159676714216714","0.109487838081188","transfac_public-M00287","Ung","0.383467052994949","0.348606267145175","0.648575406677785","Regulated","false","Ung"
"ENSMUSG00000059824","0.357913510958971","0.352200257354206","0.346487003749441","transfac_public-M00287","Dbp","2.31384734225268E-4","9.9399021902082E-7","3.48268849926237E-4","Regulated","false","Dbp"
"ENSMUSG00000025823","0.0732388836924036","0.165947486391253","0.258656089090103","transfac_public-M00287","Pdia4","0.539890787907867","0.0528368739092688","0.0334230789549191","Regulated","false","Pdia4"
"ENSMUSG00000021379","0.467878764581434","0.373865088016276","0.279851411451118","transfac_public-M00287","Id4","0.00321686588442377","9.74515143980509E-4","0.0712647765792275","Regulated","false","Id4"
"ENSMUSG00000031168","0.0448645126567682","0.148088661418403","0.251312810180038","transfac_public-M00287","Ebp","0.744876071801236","0.132286566002503","0.0720636518291279","Regulated","false","Ebp"
"ENSMUSG00000001666","-0.00889838631032358","0.0315598621357154","0.0720181105817543","transfac_public-M00287","Ddt","0.950497283040847","0.755596093265262","0.615716998033037","Regulated","false","Ddt"
"ENSMUSG00000102918","0.0915719338110117","0.0540458184804664","0.0165197031499211","transfac_public-M00287","Pcdhgc3","0.477455222825592","0.55295785191027","0.897814808038111","Regulated","false","Pcdhgc3"
"ENSMUSG00000020212","0.222977247866695","0.144016296721348","0.0650553455760001","transfac_public-M00287","Mdm1","0.233983760130999","0.276517339249566","0.726978707593439","Regulated","false","Mdm1"
